14,1,Name : Hacker Movie Club | Team:NULLKrypt3rs | Solves :71 | Type : Web | Note : Files here,,
14,2,"Hacker movies are very popular, so we needed a site that we can scale",,
14,3,"You better get started though, there are a lot of movies to watch.",,
14,4,Following is the page you get on clicking on the link,I,
14,5,"The first thing I do on a web challenge is check it’s source and then check every functionality of the web app, while passing it through a proxy ( preferably Burp suite ), just to check some hidden headers etc","A,I",
14,6,"The proxy helps in analysing requests later , as it’s saved in it’s history.",I ,5
14,7,The page didn’t have any functionalities apart from a report button.,I,5
14,8,It had a js file namely cdn.js with contents as.,I,5
14,9,Well the source also shows the presence of two other files.,I,5
14,10,Comparing mustache.min.js with the original file checked out and thus I was sure there wasn’t anything fishy inserted into it.,"A,I","5,10"
14,11,There are two observations to look into here :,,
14,12,There’s a comment that says,A,5
14,13,// The admin is on her way to check the page,I,12
14,14,It’s when the report endpoint returns a success message,I,5
14,15,"So, perhaps we’ve to do XSS and leak out some data from the admin",I,13
14,16,But sooner than the thought enters my mind I realize that there’s no input data endpoint ( although I did try modifying the json being sent in the /api/report endpoint but nothing ever came back :( ),"A,I",5
14,17,"As we can see, the code uses Promise to fetch a file main.mst from some cdn.If you look closely the lines in cdn.js:",I,8
14,18,"and then the url, the pattern kinda stands out clearly ( isn’t it )",I,17
14,19,Any way that was just an observation.,,
14,20,"I usually when doing bug bounties ( or web questions ) setup the target scope to remove unnecessary clutter ( In bug bounties it helps a lot to focus ) , not necessary to solve this question though :",I,
14,21,Setting Target Scope,A,
14,22,Setting Target Scope,,
14,23,And then ✓ the filtering options to Show only in-scope options :,A,
14,24,"With all that setup, now coming back to problem at hand : There’s a request to the endpoint /api/movies , which returns the following json.",I,"20,21"
14,25,I can’t help but notice that the last json entry is :,I,21
14,26,"It is the only entry with ""admin_only"":true,"" and interestingly all other movies are being displayed on the webpage but not this.",I,21
14,27,But why is it so ?,,
14,28,"Looking into the traffic in burpsuite, we notice the file main.mst being fetched, with the contents as.","A,I",
14,29,"Well, anyone who has slight knowledge of making websites with “new technologies” would understand that it’s a template file",I,28
14,30,"Well now the pieces fit in, mustache.min.js, so perhaps mustache’s template file",I,"10,29"
14,31,"Hmmm, now the other peculiarity as to why it wasn’t displaying the [REDACTED] content on the page, well it’s quite trivial :",I,
14,32,"So, only json, with admin_only as false would be displayed here, to test this theory ( as I didn’t know mustache and it’s templating syntax ) , just change the response of /api/movies in burp suite, changing Redacted’s admin_only to false.","A,I",31
